year,round,Team,Driver,Compound
2018,8,Renault,SAI,"['ULTRASOFT', 'SOFT']"
2018,8,Sauber,ERI,"['SUPERSOFT', 'ULTRASOFT']"
2018,8,Sauber,LEC,"['ULTRASOFT', 'SUPERSOFT']"
2018,8,Toro Rosso,GAS,['SUPERSOFT']
2018,8,Toro Rosso,HAR,"['ULTRASOFT', 'SUPERSOFT']"
2018,8,Williams,SIR,['SOFT']
2018,8,Williams,STR,['SOFT']
2018,9,Ferrari,RAI,"['ULTRASOFT', 'SOFT']"
2018,9,Ferrari,VET,"['ULTRASOFT', 'SOFT']"
2018,9,Force India,OCO,"['SUPERSOFT', 'SOFT']"
2018,9,Force India,PER,"['SUPERSOFT', 'SOFT']"
2018,9,Haas F1 Team,GRO,"['ULTRASOFT', 'SOFT']"
2018,9,Haas F1 Team,MAG,"['ULTRASOFT', 'SOFT']"
2018,9,McLaren,ALO,"['SUPERSOFT', 'SOFT']"
2018,9,McLaren,VAN,"['SOFT', 'SOFT']"
2018,9,Mercedes,BOT,['SUPERSOFT']
2018,9,Mercedes,HAM,"['SUPERSOFT', 'SOFT', 'SUPERSOFT']"
2018,9,Red Bull Racing,RIC,"['SUPERSOFT', 'SOFT', 'SUPERSOFT']"
2018,9,Red Bull Racing,VER,"['SUPERSOFT', 'SOFT']"
2018,9,Renault,HUL,['ULTRASOFT']
2018,9,Renault,SAI,"['ULTRASOFT', 'SOFT', 'SUPERSOFT']"
2018,9,Sauber,ERI,"['SOFT', 'SUPERSOFT']"
2018,9,Sauber,LEC,"['SUPERSOFT', 'SOFT']"
2018,9,Toro Rosso,GAS,"['SUPERSOFT', 'SOFT']"
2018,9,Toro Rosso,HAR,['SUPERSOFT']
2018,9,Williams,SIR,"['SUPERSOFT', 'SOFT', 'ULTRASOFT']"
2018,9,Williams,STR,"['ULTRASOFT', 'SOFT', 'SUPERSOFT']"
2018,10,Ferrari,RAI,"['SOFT', 'MEDIUM', 'SOFT']"
2018,10,Ferrari,VET,"['SOFT', 'MEDIUM', 'SOFT']"
2018,10,Force India,OCO,"['SOFT', 'MEDIUM']"
2018,10,Force India,PER,"['SOFT', 'MEDIUM', 'SOFT']"
2018,10,Haas F1 Team,GRO,"['SOFT', 'MEDIUM']"
2018,10,Haas F1 Team,MAG,"['SOFT', 'MEDIUM']"
2018,10,McLaren,ALO,"['SOFT', 'MEDIUM', 'SOFT']"
2018,10,McLaren,VAN,"['SOFT', 'MEDIUM', 'SOFT']"
2018,10,Mercedes,BOT,"['SOFT', 'MEDIUM']"
2018,10,Mercedes,HAM,"['SOFT', 'MEDIUM']"
2018,10,Red Bull Racing,RIC,"['SOFT', 'MEDIUM', 'SOFT']"
2018,10,Red Bull Racing,VER,"['SOFT', 'MEDIUM', 'SOFT']"
2018,10,Renault,HUL,"['MEDIUM', 'HARD']"
2018,10,Renault,SAI,"['MEDIUM', 'HARD', 'SOFT']"
2018,10,Sauber,ERI,"['SOFT', 'MEDIUM']"
2018,10,Sauber,LEC,['SOFT']
2018,10,Toro Rosso,GAS,"['SOFT', 'MEDIUM', 'SOFT']"
2018,10,Williams,SIR,"['SOFT', 'MEDIUM']"
2018,10,Williams,STR,"['MEDIUM', 'SOFT']"
2018,11,Ferrari,RAI,"['ULTRASOFT', 'SOFT', 'ULTRASOFT']"
2018,11,Ferrari,VET,"['ULTRASOFT', 'SOFT']"
2018,11,Force India,OCO,"['ULTRASOFT', 'SOFT']"
2018,11,Force India,PER,"['ULTRASOFT', 'SOFT']"
2018,11,Haas F1 Team,GRO,"['ULTRASOFT', 'MEDIUM', 'INTERMEDIATE', 'ULTRASOFT']"
2018,11,Haas F1 Team,MAG,"['ULTRASOFT', 'MEDIUM', 'INTERMEDIATE', 'ULTRASOFT']"
2018,11,McLaren,ALO,"['SOFT', 'MEDIUM', 'INTERMEDIATE', 'SOFT']"
2018,11,McLaren,VAN,"['SOFT', 'MEDIUM', 'ULTRASOFT']"
2018,11,Mercedes,BOT,"['ULTRASOFT', 'SOFT', 'ULTRASOFT']"
2018,11,Mercedes,HAM,"['SOFT', 'ULTRASOFT']"
2018,11,Red Bull Racing,RIC,['MEDIUM']
2018,11,Red Bull Racing,VER,"['ULTRASOFT', 'SOFT', 'INTERMEDIATE', 'INTERMEDIATE', 'ULTRASOFT']"
2018,11,Renault,HUL,"['ULTRASOFT', 'MEDIUM', 'INTERMEDIATE', 'ULTRASOFT']"
2018,11,Renault,SAI,"['ULTRASOFT', 'MEDIUM', 'INTERMEDIATE', 'ULTRASOFT']"
2018,11,Sauber,ERI,"['SOFT', 'ULTRASOFT']"
2018,11,Sauber,LEC,"['ULTRASOFT', 'SOFT', 'INTERMEDIATE', 'ULTRASOFT']"
